Codigo;Dscricao
010101;análise de sistemas
010102;desenvolvimento de sistemas
010104;geração de programa de computador sob encomenda
010201;programação
010302;provimento de acesso à internet
010303;provimento de voz sobre internet
010304;provimento de conteúdo para a internet
010305;provimento de serviço de aplicação
010307;serviços de data center, parque tecnológico ou congêneres
010308;processamento de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos ou sistemas de informação, entre outros formatos, e congêneres
010309;armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos ou sistemas de informação, entre outros formatos, e congêneres
010401;elaboração de programa de computadores
010402;elaboração de jogo eletrônico
010403;elaboração de programa de computador sob encomenda, não derivado de software preexistente, cujo desenvolvimento se dê integralmente no Brasil e cujos direitos autorais permaneçam reservados ao contratante do serviço, desde que atendidos os demais requisitos previstos no art 8° da Instrução Normativa SMF n° 16, de 02 de julho de 2012
010501;licenciamento de uso de programa de computação
010502;cessão de direito de uso de programa de computação
010601;assessoria ou consultoria em informática
010701;suporte técnico em informática
010702;instalação e/ou configuração de programa de computação e/ou banco de dados
010703;manutenção de programa de computação e/ou banco de dados
010704;customização de programa de computador
010705;atualização de software
010801;projeto de páginas eletrônicas
010802;confecção ou desenvolvimento de páginas eletrônicas
010803;manutenção e/ou atualização de páginas eletrônicas
010901;disponibilização, sem cessão definitiva, de conteúdos de áudio, vídeo, imagem ou texto por meio da internet, para pessoas jurídicas
010902;disponibilização, sem cessão definitiva, de conteúdos de áudio, vídeo, imagem ou texto por meio da internet, para pessoas naturais
020101;pesquisa e desenvolvimento (P&D)
020102;pesquisa de mercado ou de opinião pública
020103;pesquisa de opinião pública
020104;pesquisa de mercado
020105;desenvolvimento de projetos de créditos de carbono
030201;cessão de direito de uso de sinais de propaganda
030202;cessão de direito de uso de marca
030204;serviços relativos à indústria cinematográfica, correspondentes a receitas de licenciamento para exibição da obra cinematográfica, exclusivamente vinculados a filme brasileiro, natural ou de enredo
030205;serviços relativos à indústria cinematográfica, correspondentes a receitas de licenciamento para exibição da obra cinematográfica, vinculados a filme estrangeiro
030206;serviços prestados mediante locação, cessão de direito de uso e congêneres, não especificados em outros códigos, exceto locação de bens móveis pura e simples, nos termos da Instrução Normativa SMF N° 15, de 12/01/2012
030301;exploração de salão de festas
030302;exploração de centro de convenções
030303;exploração de escritório virtual
030304;exploração de stand
030305;exploração de quadra esportiva
030306;exploração de estádio
030307;exploração de ginásio
030308;exploração de auditório
030309;exploração de casa de espetáculos
030310;exploração de parque de diversões
030311;exploração de cancha, campo para prática esportiva, pista para corrida de animais e congêneres
030401;locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovias
030402;locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de rodovias
030403;locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de postes
030404;locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de cabos
030405;locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de dutos ou condutos de qualquer natureza
030406;locação, sublocação ou arrendamento de condutos em geral
030407;cessão de direitos sobre ferrovia
030408;cessão de direitos sobre rodovia
030409;cessão de direitos sobre postes
030410;cessão de direitos sobre cabos
030411;cessão de direitos sobre dutos
030412;cessão de direitos sobre condutos em geral
030501;cessão de andaimes
030502;cessão de palco
030503;cessão de estrutura de uso temporário
040101;medicina
040102;biomedicina
040201;análises clínicas, patologia ou congênere
040202;eletricidade médica ou congênere
040203;radioterapia ou congênere
040204;quimioterapia ou congênere
040205;ultrassonografia, ressonância magnética, radiologia, tomografia ou congênere
040206;hemoterapia
040207;litotripsia
040208;exames médicos e de saúde em geral
040301;serviços prestados por hospital
040302;Serviços de saúde ou de assistência médica prestados por hospital apto a efetuar internações
040303;serviços prestados por clínica
040304;Serviços de saúde ou de assistência médica prestados por clínica apta a efetuar internações
040305;serviços de laboratório
040306;serviços prestados por sanatório
040307;Serviços de saúde ou de assistência médica prestados por sanatório apto a efetuar internações
040308;serviços prestados por manicômio
040309;Serviços de saúde ou de assistência médica prestados por manicômio apto a efetuar internações
040310;serviços prestados por casa de saúde
040311;Serviços de saúde ou de assistência médica prestados por casa de saúde apta a efetuar internações
040312;serviços prestados por pronto-socorro
040313;Serviços de saúde ou de assistência médica prestados por pronto-socorro apto a efetuar internações
040314;serviços prestados por ambulatórios
040315;serviços prestados por posto de vacinação
040401;instrumentação cirúrgica
040501;acupuntura
040601;enfermagem
040602;enfermagem - serviços auxiliares
040701;serviços farmacêuticos
040801;terapia ocupacional
040802;fisioterapia
040803;fonoaudiologia
040901;terapias de qualquer espécie destinadas ao tratamento físico, orgânico ou mental
041001;nutrição
041101;obstetrícia
041201;odontologia
041301;ortóptica
041401;confecção de próteses
041501;psicanálise
041601;psicologia
041701;serviços de casa de repouso, de recuperação, asilo ou congênere
041702;serviços de creches ou congênere
041801;inseminação artificial, fertilização in vitro ou congênere
041802;reprodução assistida
041901;serviços de banco de sangue ou congênere
041902;serviços de banco de leite, cordões umbilicais, pele, olhos, demais órgãos ou tecidos ou congênere
041903;serviços de banco de óvulos, sêmem ou congênere
042001;coleta de sangue
042002;coleta de leite, tecidos, sêmen, órgãos ou materiais biológicos de qualquer espécie
042101;serviços de unidade de atendimento, assistência ou tratamento móve, ou congênere
042201;plano de medicina de grupo ou congênere
042202;plano de medicina individual ou congênere
042203;convênio para prestação de assistência médica, hospitalar, odontológica e congêneres
042301;plano de saúde cumprido através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário
050101;medicina veterinária
050102;zootecnia
050201;serviços prestados por hospital veterinário
050202;serviços prestados por clínica veterinária
050203;serviços prestados por ambulatório veterinário
050204;serviços prestados por pronto-socorro veterinário
050205;serviços prestados por unidade de atendimento não especificada, na área veterinária
050301;serviços de laboratórios de análise, na área veterinária
050401;inseminação artificial, fertilização in vitro ou congênere, na área veterinária
050402;reprodução animal assistida
050501;serviços de banco de sangue animal ou congênere
050502;serviços de banco de órgãos de animais ou congênere
050601;Coleta de sangue, leite, tecidos, sêmen, órgãos ou materiais biológicos de qualquer espécie, de animais
050602;manejo de animais
050701;serviços de unidade de atendimento, assistência ou tratamento móvel, ou congênere, para animais
050801;guarda, alojamento ou serviço congênere, para animais
050802;tratamento, embelezamento, tosquia ou serviço congênere, para animais
050803;amestramento de animais
050901;plano de atendimento e assistência médico-veterinária
060101;barbearia ou serviço congênere
060102;serviços de cabeleireiro ou congênere
060103;serviços de cabeleireiro, manicuro ou pedicuro
060104;serviços típicos de salões de beleza, cortes de cabelo, maquiagem, serviços de manicuro, pedicuro e outros
060120;salão - parceiro optante pelo Simples Nacional (LF n° 12592/2012)serviços de cabeleireiros, barbeiros, manicuros, pedicuros e maquiadores
060121;profissional -parceiro - cabeleireiro (LF n° 12592/2012)
060122;profissional - parceiro - barbeiro (LF n° 12592/2012)
060123;profissional - parceiro - manicuro (LF n° 12592/2012)
060124;profissional - parceiro - pedicuro (LF n° 12592/2012)
060125;profissional - parceiro - maquiador (LF n° 12592/2012)
060201;serviços de esteticistas, tratamento de pele, depilação ou congênere
060220;salão - parceiro optante pelo Simples Nacional (LF n° 12592/2012) serviços de esteticistas e depiladores
060221;profissional - parceiro - esteticista (LF n° 12592/2012)
060222;profissional - parceiro - depilador (LF n° 12592/2012)
060301;banhos, duchas, sauna, massagens ou serviço congênere
060302;exploração de sanitários
060401;aulas de ginástica
060402;aulas de dança
060403;aulas de esportes
060404;aulas de natação
060405;aulas de artes marciais
060406;serviços de academia de ginástica
060407;serviços de academia de dança
060408;serviços de academia de esportes
060409;serviços de academia de natação
060410;serviços de academia de artes marciais
060411;serviços relativos à prática de atividades físicas
060501;serviços de centro de emagrecimento, spa ou congênere
060601;aplicação de tatuagens, piercings e congêneres
070101;engenharia
070102;agronomia
070103;agrimensura ou congênere
070104;arquitetura
070105;geologia
070106;urbanismo ou congênere
070107;paisagismo ou congênere
070108;acompanhamento e fiscalização da execução de serviços de engenharia, arquitetura ou urbanismo
070109;engenharia consultiva - acompanhamento e fiscalização da execução de serviços de engenharia, arquitetura e urbanismo (relacionados com obras de construção civil, hidráulicas, de escoramento ou de contenção de encostas)
070202;execução, por empreitada ou subempreitada, de obra licenciada de construção civil, visando a erguimento de edificação para utilização como hotel
070203;execução, por empreitada ou subempreitada, de obra licenciada de construção civil, visando à transformação de imóvel em hotel
070204;execução, por empreitada ou subempreitada, de obra licenciada de construção civil, visando a acréscimo de edificação para aumentar o número de apartamentos de hotel já em funcionamento
070205;execução, por empreitada ou subempreitada, de obra licenciada de construção civil, visando à incorporação, a hotel já em funcionamento, de imóvel ou parte de imóvel antes não utilizado com finalidade hoteleira, criando-se novos apartamentos
070207;execução, por administração, de obra licenciada de construção civil, visando a erguimento de edificação para utilização como hotel
070208;execução, por administração, de obra licenciada de construção civil, visando à transformação de imóvel em hotel
070209;execução, por administração, de obra licenciada de construção civil, visando a acréscimo de edificação para aumentar o número de apartamentos de hotel já em funcionamento
070210;execução, por administração, de obra licenciada de construção civil, visando à incorporação, a hotel já em funcionamento, de imóvel ou parte de imóvel antes não utilizado com finalidade hoteleira, criando-se novos apartamentos
070211;execução, por empreitada ou subempreitada, de obras hidráulicas
070212;execução, por empreitada ou subempreitada, de obras hidráulicas componentes de obra licenciada, visando a: erguimento de edificação para utilização como hotel; transformação de imóvel em hotel; acréscimo de edificação para aumentar o número de apartamentos de hotel já em funcionamento; ou incorporação, a hotel já em funcionamento, de imóvel ou parte de imóvel antes não utilizado com finalidade hoteleira, criando-se novos apartamentos
070213;execução, por administração, de obras hidráulicas
070214;execução, por administração, de obras hidráulicas componentes de obra licenciada, visando a: erguimento de edificação para utilização como hotel; transformação de imóvel em hotel; acréscimo de edificação para aumentar o número de apartamentos de hotel já em funcionamento; ou incorporação, a hotel já em funcionamento, de imóvel ou parte de imóvel antes não utilizado com finalidade hoteleira, criando-se novos apartamentos
070215;execução, por empreitada ou subempreitada, de obras elétricas
070216;execução, por empreitada ou subempreitada, de obras elétricas componentes de obra licenciada, visando a: erguimento de edificação para utilização como hotel; transformação de imóvel em hotel; acréscimo de edificação para aumentar o número de apartamentos de hotel já em funcionamento; ou incorporação, a hotel já em funcionamento, de imóvel ou parte de imóvel antes não utilizado com finalidade hoteleira, criando-se novos apartamentos
070217;execução, por administração, de obras elétricas
070218;execução, por administração, de obras elétricas componentes de obra licenciada, visando a: erguimento de edificação para utilização como hotel; transformação de imóvel em hotel; acréscimo de edificação para aumentar o número de apartamentos de hotel já em funcionamento; ou incorporação, a hotel já em funcionamento, de imóvel ou parte de imóvel antes não utilizado com finalidade hoteleira, criando-se novos apartamentos
070219;obras assemelhadas a obras de construção civil, hidráulicas ou elétricas
070220;obras assemelhadas a obras de construção civil, hidráulicas ou elétricas, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos quando tais obras ou serviços forem componentes de obra, licenciada, que vise a: erguimento de edificação para utilização como hotel; transformação de imóvel em hotel; acréscimo de edificação para aumentar o número de apartamentos de hotel já em funcionamento; ou incorporação, a hotel já em funcionamento, de imóvel ou parte de imóvel antes não utilizado com finalidade hoteleira, criando-se novos apartamentos
070221;construção de empreendimentos habitacionais de interesse social e de arrendamento residencial assim entendidos aqueles expressamente reconhecidos pela Secretaria Municipal de Habitação como inseridos na política habitacional municipal, estadual e federal, destinados à população com renda de até dez salários mínimos, conforme a Lei n° 5065, de 10 de julho de 2009
070222;sondagem
070223;perfuração de poços
070224;escavação
070225;drenagem
070226;irrigação
070227;terraplanagem
070228;pavimentação
070229;concretagem de fundações ou contenções
070230;concretagem, exceto fundações ou contenções
070231;instalação de equipamentos, incluindo elevadores ou congêneres
070232;montagem de equipamentos, incluindo elevadores ou congêneres
070233;instalação de peças
070234;montagem de peças
070235;montagem de fôrmas in loco de fundações ou contenções
070236;montagem de fôrmas in loco, exceto fundações ou contenções
070237;serviços de armação in loco de fundações ou contenções
070238;serviços de armação in loco, exceto fundações ou contenções
070239;confecção de fôrmas sob encomenda de fundações ou contenções
070240;confecção de fôrmas sob encomenda, exceto fundações ou contenções
070241;confecção de produtos de concreto sob encomenda
070242;confecção de armações metálicas sob encomenda de fundações ou contenções
070243;confecção de armações metálicas sob encomenda, exceto fundações ou contenções
070244;instalação elétrica, incluindo redes de computadores ou congêneres
070245;instalação hidráulica, incluindo louças, metais ou congêneres
070246;instalação contra incêndio
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
070247;confecção de armações metálicas sob encomenda
070248;confecção de produtos de gesso sob encomenda
070249;confecção de produtos de cimento sob encomenda
070250;confecção de produtos de fibrocimento sob encomenda
070251;assentamento de alvenaria
070252;colocação ou instalação de assoalhos
070253;colocação ou instalação de revestimentos em paredes
070254;serviços de pintura ou congêneres
070255;colocação ou instalação de vidros
070256;colocação ou instalação de esquadrias metálicas
070257;colocação ou instalação de esquadrias de madeira
070258;colocação ou instalação de ferragens de portas ou congêneres
070259;colocação ou instalação de divisórias
070260;colocação ou instalação de placas de gesso
070261;recuperação de pisos ou congêneres
070262;raspagem de pisos ou congêneres
070263;polimento de pisos ou congêneres
070264;lustração de pisos ou congêneres
070265;calafetação
070269;impermeabilização - construção civil
070270; execução de obra de construção civil, hidráulica, elétrica ou semelhante, vinculada a imóvel situado na área delimitada na Operação Urbana Consorciada da Região do Porto do Rio de Janeiro, nos termos da Lei Complementar n° 101, de 23 de novembro de 2009 isenção instituída pela Lei n° 5128, de 16 de dezembro de 2009
070271;execução de obra de construção civil, hidráulica, elétrica ou semelhante, visando a construção de hotel, pousada, resort e albergue; ou visando a construção de hotel-residência situado na Área de Especial Interesse Urbanístico da Região do Porto ou na Área de Especial Interesse Urbanístico da Região do Centro, nos termos, respectivamente, da Lei Complementar n° 101, de 23 de novembro de 2009, e da Lei n° 2236, de 14 de outubro de 1994 alíquota reduzida pela Lei n° 5230, de 25 de novembro de 2010
070272;Execução de obra de construção civil por empreitada global
070273;Execução, por empreitada ou subempreitada, de obras hidráulicas, quando vinculada a obra de construção civil
070274;Execução, por administração, de obras hidráulicas, quando vinculada a obra de construção civil
070275 ;Execução, por empreitada ou subempreitada, de obras elétricas, quando vinculada a obra de construção civil
070276;Execução, por administração, de obras elétricas, quando vinculada a obra de construção civil
070277;Sondagem, perfuração de poços ou escavação, todos quando vinculados a obra de construção civil
070278;Drenagem ou irrigação, todos quando vinculados a obra de construção civil
070279;Terraplanagem, quando vinculada a obra de construção civil
070280;Pavimentação, quando vinculada a obra de construção civil
070281;Concretagem, quando vinculada a obra de construção civil
070282;Instalação ou montagem de peças ou equipamentos, incluindo elevadores ou congêneres, quando vinculada a obra de construção civil
070283;Montagem de fôrmas in loco, quando vinculada a obra de construção civil
070284;Serviços de armação in loco, quando vinculados a obra de construção civil
070285 ;Confecção de fôrmas sob encomenda, quando vinculada a obra de construção civil
070286;Confecção de produtos de PVC, gesso, concreto, cimento, fibrocimento e outros sob encomenda, quando vinculada a obra de construção civil
070287;Confecção de armações metálicas sob encomenda, quando vinculada a obra de construção civil
070288;Instalação elétrica, incluindo redes de computadores ou congêneres, quando vinculada a obra de construção civil
070289;Instalação hidráulica, incluindo louças, metais ou congêneres, quando vinculada a obra de construção civil
070290;Instalação contra incêndio, quando vinculada a obra de construção civil
070298;execução, por empreitada ou subempreitada, de obras de construção civil, não enquadrável nos códigos anteriores
070299;execução, por administração, de obras de construção civil, não enquadrável nos códigos anteriores
070301;elaboração de planos diretores relacionados com serviços de engenharia não relacionados a obras de construção civil
070302;engenharia consultiva-elaboração de planos diretores relacionados com obras ou serviços de engenharia (relacionados com obras de construção civil, hidráulicas, de escoramento ou de contenção de encostas)
070303;elaboração de estudos de viabilidade relacionados com serviços de engenharia não relacionados com obras de construção civil
070304;engenharia consultiva-elaboração de estudos de viabilidade, relacionados com obras ou serviços de engenharia (relacionados com obras de construção civil, hidráulicas, de escoramento ou de contenção de encostas)
070305;elaboração de estudos organizacionais e outros, relacionados com serviços de engenharia não relacionados com obras de construção civil
070306;engenharia consultiva-elaboração de estudos diversos relacionados com obras ou serviços de engenharia (relacionados com obras de construção civil, hidráulicas, de escoramento ou de contenção de encostas)
070307;elaboração de anteprojetos para trabalhos de engenharia não relacionados com obras de construção civil
070308;elaboração de projetos básicos para trabalhos de engenharia não relacionados com obras de construção civil
070309;elaboração de projetos executivos para trabalhos de engenharia não relacionados com obras de construção civil
070310;engenharia consultiva-elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia (relacionados com obras de construção civil, hidráulicas, de escoramento ou de contenção de encostas)
070311;elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, anteprojetos, projetos básicos e projetos executivos, vinculada a construção ou reforma de imóvel situado na área delimitada na Operação Urbana Consorciada da Região do Porto do Rio de Janeiro, nos termos da Lei Complementar n° 101, de 23 de novembro de 2009isenção instituída pela Lei n° 5128, de 16 de dezembro de 2009
070401;demolição
070402;demolição vinculada a construção ou reforma de imóvel situado na área delimitada na Operação Urbana Consorciada da Região do Porto do Rio de Janeiro, nos termos da Lei Complementar n° 101, de 23 de novembro de 2009 isenção instituída pela Lei n° 5128, de 16 de dezembro de 2009
070403 ;Demolição, quando executada em obra de construção civil
070404;Demolição, quando executada em obra de reforma de imóvel
070501;reparação de edifícios e congêneres
070502;reparação de estradas e congêneres
070503;reparação de pontes e congêneres
070504;reparação de portos e congêneres
070505;reparação de imóveis em geral
070506;reparação de edifícios ou congêneres, quando componente de obra licenciada, visando a: erguimento de edificação para utilização como hotel; transformação de imóvel em hotel; acréscimo de edificação para aumentar o número de apartamentos de hotel já em funcionamento; ou incorporação, a hotel já em funcionamento, de imóvel ou parte de imóvel antes não utilizado com finalidade hoteleira, criando-se novos apartamentos
070507;conservação de edifícios e congêneres
070508;conservação de estradas e congêneres
070509;conservação de pontes e congêneres
070510;conservação de portos e congêneres
070511;conservação de imóveis em geral
070512;conservação de edifícios ou congêneres, quando componente de obra licenciada, visando a: erguimento de edificação para utilização como hotel; transformação de imóvel em hotel; acréscimo de edificação para aumentar o número de apartamentos de hotel já em funcionamento; ou incorporação, a hotel já em funcionamento, de imóvel ou parte de imóvel antes não utilizado com finalidade hoteleira, criando-se novos apartamentos
070513;reforma de edifícios e congêneres
070514;reforma de estradas e congêneres
070515;reforma de pontes e congêneres
070516;reforma de portos e congêneres
070517;reforma de imóveis em geral
070518;reforma de edifícios ou congêneres, quando componente de obra licenciada, visando a: erguimento de edificação para utilização como hotel; transformação de imóvel em hotel; acréscimo de edificação para aumentar o número de apartamentos de hotel já em funcionamento; ou incorporação, a hotel já em funcionamento, de imóvel ou parte de imóvel antes não utilizado com finalidade hoteleira, criando-se novos apartamentos
070519;reforma de imóveis para conversão em residências integrantes de empreendimentos habitacionais de interesse social e de arrendamento residencial, assim entendidos aqueles expressamente reconhecidos pela Secretaria Municipal de Habitação como inseridos na política habitacional municipal, estadual e federal, destinados à população com renda de até dez salários mínimos, conforme a Lei n° 5065, de 10 de julho de 2009
070520;assentamento de alvenaria
070521;colocação ou instalação de assoalhos
070522;colocação ou instalação de revestimentos em paredes
070523;serviços de pintura ou congêneres
070524;colocação ou instalação de vidros
070525;colocação ou instalação de esquadrias metálicas
070526;colocação ou instalação de esquadrias de madeira
070527;colocação ou instalação de ferragens de portas ou congêneres
070528;colocação ou instalação de divisórias
070529;colocação ou instalação de placas de gesso
070530;recuperação de pisos ou congêneres
070531;raspagem de pisos ou congêneres
070532;polimento de pisos ou congêneres
070533;lustração de pisos ou congêneres
070534;calafetação
070538;impermeabilização-reparação ou reforma de edifícios, estradas, pontes, portos ou congêneres
070539;impermeabilização-conservação de edifícios, estradas, pontes, portos ou congêneres
070540;reparação, conservação ou reforma de edifício, estrada, ponte, porto ou congênere, vinculada a construção ou reforma de imóvel situado na área delimitada na Operação Urbana Consorciada da Região do Porto do Rio de Janeiro, nos termos da Lei Complementar n° 101, de 23 de novembro de 2009 isenção instituída pela Lei n° 5128, de 16 de dezembro de 2009
070541;reparação, conservação ou reforma de edifício, estrada, ponte, porto ou congênere, visando a reconversão de hotel, pousada, resort e albergue; ou visando a reconversão de hotel-residência situado na Área de Especial Interesse Urbanístico da Região do Porto ou na Área de Especial Interesse Urbanístico da Região do Centro, nos termos, respectivamente, da Lei Complementar n° 101, de 23 de novembro de 2009, e da Lei n° 2236, de 14 de outubro de 1994 alíquota reduzida pela Lei n° 5230, de 25 de novembro de 2010
070601;colocação ou instalação de tapetes
070602;colocação ou instalação de carpetes
070603;colocação ou instalação de assoalhos
070604;colocação ou instalação de cortinas
070605;colocação ou instalação de revestimentos de parede
070606;serviços de pintura ou congêneres
070607;colocação ou instalação de vidros
070608;colocação ou instalação de esquadrias metálicas
070609;colocação ou instalação de esquadrias de madeira
070610;colocação ou instalação de ferragens de portas ou congêneres
070611;colocação ou instalação de divisórias
070612;colocação ou instalação de placas de gesso
070613;assentamento de alvenaria
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
070614;colocação ou instalação de assoalhos
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
070615;colocação ou instalação de revestimentos em paredes
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
070616;serviços de pintura ou congêneres
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
070617;colocação ou instalação de vidros
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
070618;colocação ou instalação de esquadrias metálicas
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
070619;colocação ou instalação de esquadrias de madeira
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
070620;colocação ou instalação de ferragens de portas ou congêneres
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
070621;colocação ou instalação de divisórias
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
070622;colocação ou instalação de placas de gesso
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
070623;recuperação de pisos ou congêneres
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
070624;raspagem de pisos ou congêneres
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
070625;polimento de pisos ou congêneres
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
070626;lustração de pisos ou congêneres
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
070627;calafetação
070701;recuperação de pisos ou congêneres
070702;raspagem de pisos ou congêneres
070703;polimento de pisos ou congêneres
070704;lustração de pisos ou congêneres
070801;calafetação
070901;varrição de lixo, rejeitos ou outros resíduos quaisquer
070902;coleta de resíduos lixo, rejeitos ou outros resíduos quaisquer
070903;remoção de lixo, rejeitos ou outros resíduos quaisquer
070904;incineração de lixo, rejeitos ou outros resíduos quaisquer
070905;tratamento de lixo, rejeitos ou outros resíduos quaisquer
070906;reciclagem de lixo, rejeitos ou outros resíduos quaisquer
070907;separação de lixo, rejeitos ou outros resíduos quaisquer
070908;destinação final de lixo, rejeitos ou outros resíduos quaisquer
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
070909;Lei n° 5133/2009, art 4° varrição, coleta, remoção, incineração, tratamento, reciclagem, separação ou destinação final de lixo, rejeitos e outros resíduos quaisquer, vinculado(a) à operação de complexo siderúrgico na Zona Oeste do Município, conforme definição constante do inc IV do art 3° da Lei n° 4372/2006
071001;manutenção ou conservação de vias ou logradouros públicos
071002;manutenção ou conservação de imóveis
071003;manutenção ou conservação de chaminés
071004;manutenção ou conservação de piscinas
071005;manutenção ou conservação de parques
071006;manutenção ou conservação de jardins
071007;limpeza de vias ou logradouros públicos
071008;limpeza de imóveis
071009;limpeza de chaminés
071010;limpeza de piscinas
071011;limpeza de parques
071012;limpeza de jardins
071013;impermeabilização - manutenção ou conservação
071101;decoração
071102;jardinagem
071103;corte ou poda de árvores
071201;controle de efluentes de qualquer natureza
071202;controle de agentes físicos e/ou químicos
071203;controle de agentes biológicos
071204;tratamento de efluentes de qualquer natureza
071205;tratamento de agentes químicos
071206;tratamento de agentes biológicos
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
071207;Lei n° 5133/2009, art 4° controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos, vinculados à operação de complexo siderúrgico na Zona Oeste do Município, conforme definição constante do inc IV do art 3° da Lei n° 4372/2006
071301;dedetização, desinsetização ou congênere
071302;desinfecção, imunização, higienização ou congênere
071303;desratização ou congênere
071304;pulverização ou congênere
071305;controle de pragas
071601;florestamento, reflorestamento ou congênere
071603;semeadura, adubação, reparação de solo, plantio, silagem, colheita
071604;corte e descascamento de árvores
071605;silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florestas, para quaisquer fins e por quaisquer meios
071701;Escoramento, contenção de encostas e serviços congêneres
071702;Escoramento, contenção de encostas e serviços congêneres, quando executados em uma obra de construção civil
071703;Escoramento, contenção de encostas e serviços congêneres, quando executados em uma obra de reforma ou reparação de imóvel
071801;limpeza e dragagem de rios
071802;limpeza e dragagem de portos
071803;limpeza e dragagem de canais
071804;limpeza e dragagem de baías ou congêneres
071805;limpeza e dragagem de lagos, lagoas, represas, açudes ou congêneres
071901;acompanhamento e fiscalização da execução de obras de engenharia, arquitetura ou urbanismo
071904;engenharia consultiva - acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo (relacionados com obras de construção civil, hidráulicas, de escoramento ou de contenção de encostas)
072001;aerofotogrametria
072002;interpretação de aerofotogrametria
072003;cartografia ou congênere
072004;mapeamento ou congênere
072005;levantamentos topográficos ou congêneres
072006;levantamentos batimétricos ou congêneres
072007;levantamentos geográficos ou congêneres
072008;levantamentos geodésicos ou congêneres
072009;levantamentos geológicos ou congêneres
072010;levantamentos geofísicos ou congêneres
072011;topografia e congêneres, quando prestados em uma obra de construção civil
