Codigo;Dscricao
072012;topografia e congêneres, quando prestados em uma obra de reforma de imóvel
072101;Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria, estimulação e outros serviços relacionados com a exploração e explotação de petróleo, gás natural e de outros recursos minerais
072103;Serviços de logística relacionados à exploração e à explotação de petróleo, de gás natural
072104;Integração de serviços de implementação, intervenção e interligação de poços marítimos relacionados à exploração e à explotação de petróleo e gás natural, desde que os respectivos estabelecimentos prestadores sejam localizados nos bairros de Acari, Barros Filho, Cordovil, Costa Barros, Jardim América, Parada de Lucas, Parque Colúmbia, Pavuna e Vigário Geral
072105;Serviços prestados mediante cessão de direito de uso de dados sísmicos não exclusivos obtidos por Empresa de Aquisição de Dados - EAD, na forma da regulamentação da Agência Nacional de Petróleo, Gás Natural e Biocombustíveis - ANP ou agência reguladora que a substitua
072201;nucleação e bombardeamento de nuvens ou congêneres
080101;ensino pré - escolar
080102;ensino fundamental
080103;ensino médio
080104;ensino superior
080105;ensino regular à distância
080201;instrução
080202;treinamento
080203;orientação pedagógica
080204;orientação educacional
080205;avaliação de conhecimentos
080206;ensino técnico
080207;ensino tecnológico
080208;ensino de música
080209;ensino de artes
080210;ensino de idiomas
080211;formação de condutores
080212;curso de pilotagem
080213;curso de informática
080214;cursos em geral
080215;instrução e treinamento à distância
080216;ensino à distância - cursos livres
090101;hospedagem, de qualquer natureza, em hotéis
090102;hospedagem, de qualquer natureza, em apart-service condominial, flat, apart-hotel, hotel residência, residence-service, suíte service, condomínio hoteleiro, flat-hotel ou congênere
090103;hospedagem de qualquer natureza - hotelaria marítima
090104;hospedagem, de qualquer natureza, em pensões, hospedarias e congêneres
090105;ocupação por temporada com fornecimento de serviço
090106;hospedagem, de qualquer natureza, em motéis e congêneres
090201;agenciamento, organização, promoção e intermediação de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres
090202;execução de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres
090203;reservas
090301;guia de turismo
100101;agenciamento, corretagem ou intermediação de câmbio
100103;agenciamento, corretagem ou intermediação de cartões de crédito
100104;agenciamento, corretagem ou intermediação de planos de saúde
100105;agenciamento, corretagem ou intermediação de planos de previdência privada
100106;agenciamento, corretagem ou intermediação, quando relativos a seguros
100107;agenciamento, corretagem ou intermediação, quando relativos a resseguros
100201;agenciamento, corretagem ou intermediação de títulos em geral ou valores mobiliários
100202;serviços de agenciamento, corretagem ou intermediação de títulos em geral ou valores mobiliários, prestados por instituição autorizada a funcionar pelo Banco Central do Brasil
100203;agenciamento, corretagem ou intermediação de contratos quaisquer
100204;serviços de agenciamento, corretagem ou intermediação de títulos em geral ou valores mobiliários realizados no âmbito de Bolsa de Mercadorias e Futuros
100205;intermediação de serviços entre pessoas físicas, realizada exclusivamente pela internet
100301;agenciamento, corretagem ou intermediação de direitos de propriedade industrial
100302;agenciamento, corretagem ou intermediação de direitos de propriedade artística
100303;agenciamento, corretagem ou intermediação de direitos de propriedade literária
100401;agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing)
100402;agenciamento de contratos de franquia (franchising)
100403;agenciamento, corretagem ou intermediação de contratos de faturização (factoring)
100501;agenciamento, corretagem ou intermediação de contratos em mercado de mercadorias e futuros
100502;agenciamento, corretagem ou intermediação de bens móveis
100503;agenciamento, corretagem ou intermediação de bens imóveis
100504;venda em consignação
100505;agenciamento de cargas
100506;intermediação na comercialização de produtos de informática
100507;agenciamento de transportes
100508;intermediação para licenciamento ou cessão do direito de uso de programa de computador
100601;agenciamento marítimo
100701;agenciamento de notícias
100801;agenciamento de publicidade e propaganda
100802;agenciamento de veiculação de publicidade e propaganda
100901;representação comercial
100902;representação em geral
100904;serviços de representação ativa ou passiva, realizada através de centrais de tele-atendimento, prestados por estabelecimentos situados na Área de Planejamento 3AP3 e na Área de Planejamento 5AP5, conforme delimitadas no Plano Diretor da Cidade do Rio de Janeiro, Lei Complementar n° 111, de 1° de fevereiro de 2011, e na Área de Planejamento 22 AP22, que engloba a VIII e a IX Regiões Administrativas
100905;serviços de representação, quando relativa a seguros
100906;serviços de representação, quando relativa a resseguros
101001;distribuição de bens de terceiros
101002;serviços relativos à indústria cinematográfica, correspondentes a receitas de distribuição de filmes, exclusivamente vinculados a filme brasileiro, natural ou de enredo, e havendo dedicação exclusiva do distribuidor a filmes brasileiros, naturais ou de enredo
101003; serviços relativos à indústria cinematográfica, correspondentes a receitas de distribuição de filmes, vinculados a filme estrangeiro, ou não havendo dedicação exclusiva do distribuidor a filmes brasileiros
110101;guarda e estacionamento de veículos terrestres automotores
110102;guarda e estacionamento de aeronaves
110103;guarda e estacionamento de embarcações
110203;vigilância, segurança ou monitoramento de bens, pessoas ou semoventes
110301;escolta
110401;armazenamento, guarda ou depósito de bens
110402;carga e/ou descarga de bens
110403;arrumação de bens
110501;Serviços relacionados ao monitoramento e rastreamento a distância, em qualquer via ou local, de veículos, cargas, pessoas e semoventes em circulação ou movimento, realizados por meio de telefonia móvel, transmissão de satélites, rádio ou qualquer outro meio, inclusive pelas empresas de tecnologia da informação veicular, independentemente de o prestador de serviços ser proprietário ou não da infraestrutura de telecomunicações que utiliza
120101;espetáculos teatrais
120201;exibições cinematográficas
120301;espetáculos circenses
120401;programas de auditório
120501;parques de diversões e congêneres
120502;centros de lazer e congêneres
120601;taxi-dancing e congêneres
120602;boates e congêneres
120603;discotecas
120604;danceterias
120701;realização de shows
120702;realização de espetáculos de ballet
120703;realização de dança
120704;realização de desfile
120705;realização de baile
120706;realização de espetáculos de ópera
120707;realização de concerto
120708;realização de recital
120709;realização de festival
120801;feira, exposição, congresso ou congênere
120901;jogos de bilhar
120902;jogos de boliche
120903;diversões eletrônicas ou não
121001;corridas e competições de animais
121101;competições esportivas ou de destreza física ou intelectual
121201;execução de música
121301;produção de eventos
121302;produção de espetáculos
121303;produção de entrevistas
121304;produção de shows
121305;produção de desfiles
121306;produção de danças
121307;produção de bailes
121308;produção de peças teatrais
121309;produção de óperas
121310;produção de concertos
121311;produção de recitais
121312;produção de festivais e congêneres
121401;Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo
121501;desfiles de blocos carnavalescos ou folclóricos, ou congêneres
121502;desfiles de trios elétricos ou conêneres
121601;exibição de filmes cinematográficos
121608;exibição de entrevistas
121609;exibição de musicais
121610;exibição de espetáculos
121611;exibição de shows
121612;exibição de desfiles
121613;exibição de concertos
121614;óperas
121615;exibição de competições esportivas, de destreza intelectual ou congêneres
121701;recreação
121702;animação de festas
121703;animação em feiras
121704;animação em eventos de qualquer natureza
130201;fonografia
130202;gravação de sons
130203;trucagem de som
130204;dublagem
130205;mixagem
130206;reprodução de som
130207;reprodução de vídeo
130208;reprodução de software
130209;edição de música
130301;fotografia
130302;cinematografia
130303;revelação fotográfica
130304;ampliação fotográfica
130305;cópia de imagem
130306;reprodução de filme
130307;trucagem de imagem
130308;Serviços relativos à indústria cinematográfica, diretamente concorrentes para a produção da obra audiovisual, vinculados a filme brasileiro, natural ou de enredo
130309;Serviços relativos à indústria cinematográfica, diretamente concorrentes para a produção da obra audiovisual, vinculados a filme estrangeiro
130310;cinematografia - filmes publicitários
130401;reprografia
130402;microfilmagem
130403;digitalização
130404;serviços típicos de papelarias e estabelecimentos congêneres, como reprografia (cópias), plastificação e outros
130501;composição gráfica
130502;fotocomposição e outras matrizes gráficas
130503;clicheria
130504;zincografia
130505;litografia
130506;fotolitografia
130507;impressão
130508;pré-impressão
130509;impressão em chapas metálicas
130510;encadernação de livros e revistas
130511;confecção de impressos personalizados
130512;confecção de impressos de segurança
130513;acabamento gráfico
130514;confecção de impressos para o usuário final
130515;serviços gráficos em geral
140101;lubrificação de máquinas
140102;limpeza ou lustração de máquinas
140103;revisão de máquinas
140104;carga e recarga de máquinas
140105;conserto de máquinas
140106;restauração de máquinas
140107;manutenção de máquinas
140108;conservação de máquinas
140109;lubrificação de aparelhos
140110;limpeza ou lustração de aparelhos
140111;revisão de aparelhos
140112;carga e recarga de aparelhos
140113;conserto de aparelhos
140114;restauração de aparelhos
140115;manutenção de aparelhos
140116;conservação de aparelhos
140117;conservação de veículos
140118;lubrificação de veículos
140119;limpeza de veículos
140120;revisão de veículos
140122;conserto de veículos
140123;restauração de veículos
140124;manutenção de veículos
140125;blindagem de veículos
140126;lustração de veículos
140127;lubrificação de equipamentos
140128;limpeza de equipamentos
140129;revisão de equipamentos
140130;conserto de equipamentos
140131;restauração de equipamentos
140132;manutenção de equipamentos
140133;conservação de equipamentos
140134;lubrificação, limpeza, revisão, conserto, restauração, manutenção ou conservação de elevadores
140135;lubrificação de motores
140136;limpeza de motores
140137;revisão de motores
140138;conserto de motores
140139;restauração de motores
140140;manutenção de motores
140141;conservação de motores
140142;recondicionamento de baterias
140143;manutenção de estações elétricas
140144;manutenção de redes elétricas
140145;manutenção de estações de telecomunicações
140146;manutenção de redes de telecomunicações
140147;alinhamento para veículos
140148;balanceamento para veículos
140149;recarga de cartuchos
140150;restauração de arte
140151;manutenção de computadores
140152;manutenção de eletrodomésticos
140153;conserto de calçados
140154;lubrificação de objetos em geral
140155;limpeza de objetos em geral
140156;lustração de objetos em geral
140157;revisão em objetos em geral
140158;carga e recarga de objetos em geral
140159;conserto de objetos em geral
140160;restauração de objetos em geral
140161;blindagem de objetos em geral
140162;manutenção de objetos em geral
140163;conservação de objetos em geral
140164;reparação de embarcações efetuada por industria da construção e de reparo naval
140165;serviços relacionados a reparação de embarcações, efetuados por prestadores contratados pela industria da construção e de reparo naval
140166;Lei n° 5133/2009, art 4° lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção ou conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto, vinculado(a) à operação de complexo siderúrgico na Zona Oeste do Município, conforme definição constante do inc IV do art 3° da Lei n° 4372/2006
140201;assistência técnica
140202;serviços de assistência técnica, manutenção, reparação e outros, relacionados ao fornecimento de gás
140301;recondicionamento de motores
140401;recauchutagem de pneus
140402;regeneração de pneus
140403;borracharia para veículos
140501;restauração
140502;recondicionamento
140503;acondicionamento
140504;pintura
140505;beneficiamento
140506;lavagem
140507;secagem
140508;tingimento
140509;galvanoplastia
140510;anodização
140511;corte
140512;recorte
140513;polimento
140514;plastificação
140515;estamparia têxtil
140516;texturização têxtil
140517;alvejamento de tecidos
140518;usinagem
140519;solda
140520;revestimento de metais
140521;tratamento de metais
140522;britamento de pedras
140523;aparelhamento de pedras
140524;vitrificação
140525;envasamento
140526;empacotamento
140527;serviços não especificados, aplicados a objetos quaisquer
140528;Tinturaria lavagem, secagem, tingimento e serviços conexos
140529;Lei n° 5133/2009, art 4° restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, polimento, plastificação ou congênere, de objeto qualquer, vinculado(a) à operação de complexo siderúrgico na Zona Oeste do Município, conforme definição constante do inc IV do art 3° da Lei n° 4372/2006
140530;costura e congêneres,
140531;acabamento e congêneres, de objetos quaisquer
140601;montagem industrial
140602;instalação de aparelhos
140603;instalação de máquinas
140604;instalação de equipamentos
140605;montagem de aparelhos
140606;montagem de máquinas
140607;montagem de equipamentos
140608;montagem de locomotivas
140609;montagem de vagões
140610;montagem de material rodante
140611;montagem de aeronaves
140612;montagem de estruturas metálicas
140613;instalação de painéis
140614;montagem de stands
140615;instalação de acessórios para veículos
140616;Lei n° 5133/2009, art 4° instalação e/ou montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestada ao usuário final, exclusivamente com material por ele fornecido, e vinculada à construção ou à operação de complexo siderúrgico na Zona Oeste do Município, conforme definição constante do inc IV do art 3° da Lei n° 4372/2006
140701;colocação de molduras
140801;encadernação de livros ou congêneres
140802;douração de livros ou congêneres
140803;gravação de livros ou congêneres
140804;encadernação de revistas ou congêneres
140901;alfaiataria
140902;costura
140903;confecção sob medida
141001;tinturaria
141002;lavanderia
141003;toalharia
141101;tapeçaria
141102;reforma de estofamentos
141201;funilaria
141301;carpintaria
141302;serralheria
141401;guincho intramunicipal, guindaste e içamento
150101;administração de fundos quaisquer
150102;administração de carteira de clientes
150103;administração de consórcio
150104;administração de cartões de crédito ou débito e congêneres
150105;administração de cheques pré-datados e congêneres
150201;abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no país e no exterior, bem como a manutenção das referidas contas ativas e inativas
150301;Locação e manutenção de cofres particulares
150302;Locação e manutenção de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral
150401;fornecimento ou emissão de atestados em geral, inclusive atestado de idoneidade, atestado de capacidade financeira e congêneres
150501;Cadastro,elaboração de ficha cadastral, renovação cadastral e congêneres
150502;inclusão ou exclusão no Cadastro de Emitentes de Cheques sem Fundos - CCF ou em quaisquer outros bancos cadastrais
150601;emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral
150602;abono de firmas
150603;coleta e entrega de documentos, bens e valores
150604;comunicação com outra agência ou com a administração central
150605;licenciamento eletrônico de veículos
150606;transferência de veículos
150607;agenciamento fiduciário ou depositário
150608;devolução de bens em custódia
150609;baixa eletrônica de gravame para veículos
150701;acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo, inclusive por telefone, facsímile, internet e telex, acesso a terminais de atendimento, inclusive vinte e quatro horas
150702;acesso a outro banco e a rede compartilhada
150703;fornecimento de saldo, extrato e demais informações relativas a contas em geral, por qualquer meio ou processo
150801;emissão de contrato de crédito
150802;reemissão de contrato de crédito
150803;alteração de contrato de crédito
150804;cessão de contrato de crédito
150805;substituição de contrato de crédito
150806;cancelamento de contrato de crédito
150807;registro de contrato de crédito
150808;estudo, análise e avaliação de operações de crédito
150809;emissão, concessão, alteração ou contratação de aval, fiança, anuência e congêneres
150810;serviços relativos a abertura de crédito, para quaisquer fins
150811;operações não especificadas relativas a contratos de crédito
150901;arrendamento mercantil (leasing) de quaisquer bens, cessão de direitos e obrigações, substituição de garantia, alteração, cancelamento e registro de contrato
150902;serviços não especificados relacionados ao arrendamento mercantil (leasing)
151001;Serviços relacionados a cobranças, recebimentos ou pagamentos em geral, de títulos quaisquer, de contas ou carnês, de câmbio, de tributos e por conta de terceiros, inclusive os efetuados por meio eletrônico, automático ou por máquinas de atendimento
151002;fornecimento de posição de cobrança, recebimento ou pagamento
151003;emissão de carnês, fichas de compensação, impressos ou documentos em geral
151101;devolução de títulos
151102;protesto de títulos
151103;sustação de protesto de títulos
151104;manutenção de títulos
151105;reapresentação de títulos
151106;serviços não especificados relacionados a títulos
151201;custódia de títulos
151202;custódia de valores mobiliários
151203;custódia de bens
151204;custódia em geral
151301;serviços relacionados a operações de câmbio em geral
151302;edição, alteração, prorrogação, cancelamento e baixa de contrato de câmbio
151303;emissão de registro de exportação ou de crédito
151304;cobrança ou depósito no exterior
151305;emissão, fornecimento e cancelamento de cheques de viagem
151306;fornecimento, transferência, cancelamento e demais serviços relativos a carta de crédito de importação, exportação e garantias recebidas
151307;envio e recebimento de mensagens em geral relacionadas a operações de câmbio
151401;fornecimento de cartão magnético, cartão de crédito, cartão de débito, cartão salário ou congêneres
151402;emissão de cartão magnético, cartão de crédito, cartão de débito, cartão salário ou congêneres
151403;reemissão de cartão magnético, cartão de crédito, cartão de débito, cartão salário ou congêneres
151404;renovação de cartão magnético, cartão de crédito, cartão de débito, cartão salário ou congêneres
151405;manutenção de cartão magnético, cartão de crédito, cartão de débito, cartão salário ou congêneres
151406;cartões de convênios refeição e alimentação administração, fornecimento, emissão, reemissão, renovação, manutenção e controle de créditos
151501;compensação de cheques e títulos quaisquer
151502;serviços relacionados a depósito, inclusive depósito identificado, por qualquer meio ou processo, inclusive em terminais eletrônicos e de atendimento
151503;serviços relacionados a saque de contas quaisquer, por qualquer meio ou processo, inclusive em terminais eletrônicos e de atendimento
151601;emissão de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo
151602;reemissão de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo
151603;liquidação de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo
151604;alteração de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo
151605;cancelamento de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo
151606;baixa de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo
151607;serviços relacionados a transferência de valores, dados, fundos, pagamentos e similares, inclusive entre contas em geral
151701;emissão de cheques quaisquer, avulso ou por talão
151702;fornecimento de cheques quaisquer, avulso ou por talão
151703;devolução de cheques quaisquer, avulso ou por talão
151704;sustação de cheques quaisquer, avulso ou por talão
151705;cancelamento de cheques quaisquer, avulso ou por talão
151706;oposição de cheques quaisquer, avulso ou por talão
151801;serviços relacionados a crédito imobiliário
151802;avaliação e vistoria de imóvel ou obra
151803;análise técnica e jurídica relacionada a crédito imobiliário
151804;emissão de contrato de crédito imobiliário
151805;reemissão de contrato de crédito imobiliário
151806;alteração de contrato de crédito imobiliário
151807;transferência de contrato de crédito imobiliário
151808;renegociação de contrato de crédito imobiliário
151809;emissão e reemissão de termo de quitação de crédito imobiliário
151810;serviços não discriminados relativos a crédito imobiliário
160101;ônibus (transporte rodoviário coletivo de passageiros quando prestado sob o regime de concessão ou permissão do poder público, em ônibus ou microônibus)
160102;van (transporte rodoviário coletivo de passageiros quando prestado em van, perua ou veículo congênere, com circulação adstrita a determinadas linhas )
160105;transporte rodoviário municipal de passageiros - casos não especificados
160106;transporte ferroviário municipal de passageiros
160107;transporte metroviário municipal de passageiros
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
160108;transporte aquaviário municipal de passageiros
(Excluído pela Instrução Normativa GAB/CRE Nº 49 DE 01/12/2025, efeitos a partir de 01/01/2026):
160109;transporte escolar
160110;transporte turístico
160118;Transporte aquaviário municipal coletivo de passageiros
160119;Transporte escolar coletivo
160201;táxi
160202;serviços de táxi prestados por sociedades cooperativas formadas exclusivamente por profissionais autônomos
160203;transporte não coletivo de passageiros - casos não especificados em outros códigos
160204;transporte municipal de carga
160205;transporte municipal dutoviário
160206;serviços de transporte de natureza municipal, não especificados em outros códigos
160207;serviço de navegação e transporte fluvial de cargas cujo terminal de embarque ou de desembarque se localize às margens dos rios Acari e Pavuna
160208;Ônibus (transporte rodoviário de passageiros contratado por pessoa física ou jurídica, sem que haja pagamento individual ao prestador do serviço pelos passageiros, em ônibus ou microônibus)
 160209;Van (transporte rodoviário de passageiros contratado por pessoa física ou jurídica, sem que haja pagamento individual ao prestador do serviço pelos passageiros, prestado em van, perua ou veículo congênere)
160210;Transporte aquaviário municipal de passageiros
160211;Transporte escolar
170101;assessoria ou consultoria de qualquer natureza, não especificada
170102;análise, exame, pesquisa, coleta, compilação ou fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares
170201;datilografia, digitação e congêneres
170202;estenografia e congêneres
170203;Expediente e secretaria em geral
170204;redação
170205;edição
170206;resposta audível, interpretação, apoio e infraestrutura administrativa e congêneres
170207;revisão
170208;tradução
170209;apoio administrativo
170210;atendimento telefônico
170211;atendimento a clientes com uso de solução integrada por multicanais (telefonia, e-mail, SMS, aplicativos e presencial)
170301;planejamento técnico ou congênere
170302;planejamento financeiro ou congênere
170303;planejamento administrativo ou congênere
170304;coordenação técnica ou congênere
170305;coordenação financeira ou congênere
170306;coordenação administrativa ou congênere
170307;programação técnica ou congênere
170308;programação financeira ou congênere
170309;programação administrativa ou congênere
170310;organização técnica ou congênere
170311;organização financeira ou congênere
170312;organização administrativa ou congênere
170401;recrutamento e seleção de mão-de-obra
170402;agenciamento de mão-de-obra
170403;colocação de mão-de-obra
170501;fornecimento de mão-de-obra
170502;fornecimento de mão-de-obra temporária
170601;propaganda e publicidade
170602;propaganda e publicidade serviços concernentes à concepção, redação e produção de propaganda e publicidade, inclusive divulgação de material publicitário
170603;promoção de vendas
170604;planejamento de campanhas ou sistemas de publicidade
170605;elaboração de desenhos, textos ou demais materiais publicitários
170606;pesquisa de mercado
170607;relações públicas
170608;assessoria na edição de boletins ou revistas informativas ou publicitárias
170609;anúncios fúnebres
170610;anúncios de emprego
170611;publicações de demonstrações financeiras
170612;serviços especiais ligados à atividade de publicidade e propaganda, não especificados em outros códigos
170613;produção de filmes publicitários
170801;franquia (franchising)
170901;perícia
170902;elaboração de laudos
170903;exames técnicos
170904;análise técnica
171001;planejamento de feira ou congênere
171002;planejamento de exposição ou congênere
171003;planejamento de congresso ou congênere
171004;organização de feira ou congênere
171005;organização de exposição ou congênere
171006;organização de congresso ou congênere
171007;administração de feira ou congênere
171008;administração de exposição ou congênere
171009;administração de congresso ou congênere
171101;organização de festas
171102;organização de recepções
171103;bufê
171104;preparo de alimentos
171201;administração de bens de terceiros
171202;administração de negócios de terceiros
171203;administração de instalação para a prática esportiva
171204;administração de cemitérios
171205;administração de condomínios
171206;administração escolar
171207;administração em geral
171301;leilão ou congênere
171401;advocacia
171501;arbitragem de qualquer espécie, inclusive jurídica
171601;auditoria
171602;auditoria de projetos de créditos de carbono
171603;"Serviços de inventário de emissões de gases de efeito estufa"
171604;Auditoria de inventários de emissões de gases de efeito estufa
171701;análise de organização e métodos
171801;atuária
171802;cálculos técnicos
171901;contabilidade, inclusive serviços técnicos e auxiliares
172001;consultoria e assessoria econômica ou financeira
172002;serviços de registro e certificação de créditos de carbono
172003;serviços de disponibilização de plataformas de transação de créditos de carbono
172101;estatística
172201;cobrança
172301;assessoria, análise, avaliação, atendimento, consulta, cadastro, seleção, gerenciamento de informações, administração de contas a receber ou a pagar e em geral, relacionadas a operações de faturização (factoring)
172401;apresentação de palestras e congêneres
172402;apresentação em conferências e congêneres
172403;apresentação em seminários e congêneres
172501;Inserção de textos, desenhos ou outros materiais de propaganda e publicidade, em qualquer meio (exceto em livros, jornais, periódicos e nas modalidades de serviços de radiodifusão sonora e de sons e imagens de recepção livre e gratuita)
172502;veiculação de publicidade na internet, contratada por pessoa jurídica
172503;veiculação de publicidade na internet, contratada por pessoa natural
180101;serviços de regulação de sinistros vinculados a contratos de seguros
180102;inspeção e avaliação de riscos para cobertura de contratos de seguros
180103;prevenção e gerência de riscos seguráveis e congêneres
180104;liderança em co-seguro
180105;serviços relativos a seguros
190101;Serviços de distribuição e venda de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres
190102;Serviços relativos a títulos de capitalização e congêneres
200101;serviços ferroportuários
200102;logística ferroportuária
200103;armazenagem de qualquer natureza, relacionada a terminal ferroportuário
200104;movimentação de mercadorias em terminal ferroportuário e/ou operações congêneres
200105;serviços acessórios ferroportuários
200106;administração da infraestrutura ferroportuária
200107;serviços portuários
200108;serviços vinculados às operações dos terminais portuários na Zona Oeste do Município do Rio de Janeiro, de importação de carvão e outros insumos e exportação de placas de aço produzidas no Complexo Siderúrgico destinado à produção e à exportação de placas de aço na Zona Oeste do Município do Rio de Janeiro, satisfazendo os termos da Lei n° 4372, de 13 de junho de 2006
200109;logística portuária
200110;utilização de porto
200111;movimentação de passageiros em porto
200112;reboque de embarcações e/ou rebocador escoteiro
200113;atracação e desatracação
200114;serviços de praticagem
200115;capatazia em porto
200116;armazenagem de qualquer natureza, em porto ou relacionada a porto
200118;movimentação de mercadorias em porto e/ou operações congêneres
200119;serviços de apoio marítimo e/ou movimentação ao largo
200120;escolta de embarcações
200121;serviços de armador
200122;serviços de estiva, conferência e congêneres, em portos
200123;administração da infraestrutura portuária
200124;serviços portuários acessórios
200201;serviços aeroportuários
200202;logística aeroportuária
200203;utilização de aeroporto
200204;movimentação de passageiros em aeroporto
200205;armazenagem de qualquer natureza, em aeroporto ou relacionada a aeroporto
200206;movimentação de mercadorias em aeroporto e operações congêneres
200207;apoio aeroportuário
200301;serviços de terminais rodoviários, movimentação de passageiros, mercadorias, inclusive suas operações, logística e congêneres
200302;serviços de terminais ferroviários, movimentação de passageiros, mercadorias, inclusive suas operações, logística e congêneres
200303;serviços de terminais metroviários, movimentação de passageiros, mercadorias, inclusive suas operações, logística e congêneres
210101;serviços de registros públicos, cartorários e notariais
220101;serviços de exploração de rodovia mediante cobrança de preço ou pedágio dos usuários, envolvendo execução de serviços de conservação, manutenção, melhoramentos para adequação de capacidade e segurança de trânsito, operação, monitoração, assistência aos usuários e/ou outros serviços definidos em contratos, atos de concessão ou de permissão ou em normas oficiais
230101;serviços de programação visual, comunicação visual ou congêneres
230102;desenho industrial ou serviço congênere
240101;chaveiro
240102;confecção de carimbos
240103;confecção de placas, sinalização visual, banners, adesivos e congêneres
250101;serviços funerários
250201;cremação de corpos ou partes de corpos cadavéricos
250202;translado intramunicipal de corpos e partes de corpos cadavéricos
250301;plano funerário
250302;convênio funerário
250401;manutenção e conservação de jazigos e cemitérios
250501;Cessão de uso de espaços em cemitérios para sepultamento
260101;serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores, inclusive pelos correios e suas agências franqueadas
260102;serviços de courrier ou congêneres
270101;serviços de assistência social
280101;avaliação de bens de qualquer natureza
280102;avaliação de serviços de qualquer natureza
280103;avaliação de imóveis
290101;serviços de biblioteconomia
300101;serviços de biologia
300102;serviços de biotecnologia
300103;serviços de química
310101;serviços técnicos em edificações
310102;serviços técnicos em eletrônica
310103;serviços técnicos em eletrotécnica
310104;serviços técnicos em mecânica
310105;serviços técnicos em telecomunicações
310106;serviços técnicos e congêneres, não especificados
310107;SVA - serviços de valor adicionado suportados por serviços de telecomunicações, nos termos da Lei Federal n° 9472/97
320101;serviços de desenhos técnicos
330101;desembaraço aduaneiro
330102;comissário aduaneiro
330103;despachante aduaneiro
330104;serviços de despachantes e congêneres
340101;serviços de investigações particulares, detetives ou congêneres
350101;reportagem
350102;jornalismo
350103;assessoria de imprensa
350104;relações públicas
350105;assessoria de relações públicas
360101;serviços de meteorologia
370101;serviços de artistas
370102;serviços de atletas
370103;serviços de modelos e manequins
370104;fornecimento de elenco (cast) de artistas e figurantes
380101;museologia
390101;serviços de ourivesaria e lapidação
400101;serviços relativos a obras de arte sob encomenda